,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_gamma,param_degree,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0,0.0,0.0,0.0,linear,0.001,5,1,"{'kernel': 'linear', 'gamma': 0.001, 'degree': 5, 'C': 1}",1.0,0.875,0.9583333333333334,1.0,1.0,0.9666666666666668,0.0485912657903775,1
3,0.0031248092651367187,0.006249618530273437,0.0,0.0,linear,0.001,4,1,"{'kernel': 'linear', 'gamma': 0.001, 'degree': 4, 'C': 1}",1.0,0.875,0.9583333333333334,1.0,1.0,0.9666666666666668,0.0485912657903775,1
2,0.0,0.0,0.0,0.0,linear,0.0001,3,100,"{'kernel': 'linear', 'gamma': 0.0001, 'degree': 3, 'C': 100}",1.0,0.875,0.9583333333333334,0.9583333333333334,1.0,0.9583333333333334,0.045643546458763846,3
7,0.003124856948852539,0.006249713897705078,0.0,0.0,linear,0.01,3,100,"{'kernel': 'linear', 'gamma': 0.01, 'degree': 3, 'C': 100}",1.0,0.875,0.9583333333333334,0.9583333333333334,1.0,0.9583333333333334,0.045643546458763846,3
1,0.0,0.0,0.0,0.0,rbf,0.01,3,10,"{'kernel': 'rbf', 'gamma': 0.01, 'degree': 3, 'C': 10}",0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9166666666666666,1.0,0.9583333333333333,0.026352313834736508,5
6,0.0,0.0,0.0,0.0,rbf,0.001,3,10,"{'kernel': 'rbf', 'gamma': 0.001, 'degree': 3, 'C': 10}",0.9583333333333334,0.9583333333333334,0.9583333333333334,0.875,0.9166666666666666,0.9333333333333333,0.033333333333333354,6
4,0.0,0.0,0.0,0.0,sigmoid,0.0001,4,100,"{'kernel': 'sigmoid', 'gamma': 0.0001, 'degree': 4, 'C': 100}",0.9166666666666666,0.9166666666666666,0.875,0.875,0.9166666666666666,0.9,0.02041241452319313,7
8,0.0,0.0,0.0,0.0,sigmoid,0.0001,5,10,"{'kernel': 'sigmoid', 'gamma': 0.0001, 'degree': 5, 'C': 10}",0.9583333333333334,0.9166666666666666,0.7916666666666666,0.875,0.9166666666666666,0.8916666666666666,0.05651941652604392,8
9,0.0,0.0,0.0,0.0,sigmoid,0.0001,5,1,"{'kernel': 'sigmoid', 'gamma': 0.0001, 'degree': 5, 'C': 1}",0.9583333333333334,0.9166666666666666,0.7916666666666666,0.875,0.9166666666666666,0.8916666666666666,0.05651941652604392,8
5,0.0,0.0,0.0,0.0,sigmoid,0.01,5,100,"{'kernel': 'sigmoid', 'gamma': 0.01, 'degree': 5, 'C': 100}",0.875,0.6666666666666666,0.7916666666666666,0.7916666666666666,0.9583333333333334,0.8166666666666667,0.09718253158075503,10
